
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
26986,,Spot,2,Image 1,200,1000022515,13149246,
22330,,Spot,2,Image 1,201,1000022515,13149247,
22328,,Spot,2,Image 1,202,1000022515,13149248,
23674,,Spot,2,Image 1,203,1000022515,13149249,
24160,,Spot,2,Image 1,204,1000022515,13149250,
24436,,Spot,2,Image 1,205,1000022515,13149251,
26890,,Spot,2,Image 1,206,1000022515,13149252,
23968,,Spot,2,Image 1,207,1000022515,13149253,
33542,,Spot,2,Image 1,208,1000022515,13149254,
32864,,Spot,2,Image 1,209,1000022515,13149255,
33978,,Spot,2,Image 1,210,1000022515,13149256,
24512,,Spot,2,Image 1,211,1000022515,13149257,
23206,,Spot,2,Image 1,212,1000022515,13149258,
24126,,Spot,2,Image 1,213,1000022515,13149259,
23140,,Spot,2,Image 1,214,1000022515,13149260,
22630,,Spot,2,Image 1,215,1000022515,13149261,
24110,,Spot,2,Image 1,216,1000022515,13149262,
22586,,Spot,2,Image 1,217,1000022515,13149263,
27472,,Spot,2,Image 1,218,1000022515,13149264,
27000,,Spot,2,Image 1,219,1000022515,13149265,
22800,,Spot,2,Image 1,220,1000022515,13149266,
22856,,Spot,2,Image 1,221,1000022515,13149267,
22368,,Spot,2,Image 1,222,1000022515,13149268,
21288,,Spot,2,Image 1,223,1000022515,13149269,
21520,,Spot,2,Image 1,224,1000022515,13149270,
21664,,Spot,2,Image 1,225,1000022515,13149271,
22996,,Spot,2,Image 1,226,1000022515,13149272,
22914,,Spot,2,Image 1,227,1000022515,13149273,
22970,,Spot,2,Image 1,228,1000022515,13149274,
21908,,Spot,2,Image 1,229,1000022515,13149275,
21856,,Spot,2,Image 1,230,1000022515,13149276,
22356,,Spot,2,Image 1,231,1000022515,13149277,
22726,,Spot,2,Image 1,232,1000022515,13149278,
23028,,Spot,2,Image 1,233,1000022515,13149279,
21868,,Spot,2,Image 1,234,1000022515,13149280,
22220,,Spot,2,Image 1,235,1000022515,13149281,
22118,,Spot,2,Image 1,236,1000022515,13149282,
21788,,Spot,2,Image 1,237,1000022515,13149283,
35326,,Spot,2,Image 1,238,1000022515,13149284,
25698,,Spot,2,Image 1,239,1000022515,13149285,
23604,,Spot,2,Image 1,240,1000022515,13149286,
24978,,Spot,2,Image 1,241,1000022515,13149287,
24022,,Spot,2,Image 1,242,1000022515,13149288,
24282,,Spot,2,Image 1,243,1000022515,13149289,
24164,,Spot,2,Image 1,244,1000022515,13149290,
29778,,Spot,2,Image 1,245,1000022515,13149291,
32482,,Spot,2,Image 1,246,1000022515,13149292,
27890,,Spot,2,Image 1,247,1000022515,13149293,
24424,,Spot,2,Image 1,248,1000022515,13149294,
23458,,Spot,2,Image 1,249,1000022515,13149295,
24666,,Spot,2,Image 1,250,1000022515,13149296,
23288,,Spot,2,Image 1,251,1000022515,13149297,
23678,,Spot,2,Image 1,252,1000022515,13149298,
22668,,Spot,2,Image 1,253,1000022515,13149299,
22218,,Spot,2,Image 1,254,1000022515,13149300,
23772,,Spot,2,Image 1,255,1000022515,13149301,
30946,,Spot,2,Image 1,256,1000022515,13149302,
22318,,Spot,2,Image 1,257,1000022515,13149303,
22548,,Spot,2,Image 1,258,1000022515,13149304,
22238,,Spot,2,Image 1,259,1000022515,13149305,
22036,,Spot,2,Image 1,260,1000022515,13149306,
22062,,Spot,2,Image 1,261,1000022515,13149307,
21958,,Spot,2,Image 1,262,1000022515,13149308,
22244,,Spot,2,Image 1,263,1000022515,13149309,
21972,,Spot,2,Image 1,264,1000022515,13149310,
22094,,Spot,2,Image 1,265,1000022515,13149311,
22346,,Spot,2,Image 1,266,1000022515,13149312,
22042,,Spot,2,Image 1,267,1000022515,13149313,
22200,,Spot,2,Image 1,268,1000022515,13149314,
23048,,Spot,2,Image 1,269,1000022515,13149315,
22766,,Spot,2,Image 1,270,1000022515,13149316,
22616,,Spot,2,Image 1,271,1000022515,13149317,
22236,,Spot,2,Image 1,272,1000022515,13149318,
23032,,Spot,2,Image 1,273,1000022515,13149319,
24110,,Spot,2,Image 1,274,1000022515,13149320,
24246,,Spot,2,Image 1,275,1000022515,13149321,
23528,,Spot,2,Image 1,276,1000022515,13149322,
22688,,Spot,2,Image 1,277,1000022515,13149323,
22538,,Spot,2,Image 1,278,1000022515,13149324,
21676,,Spot,2,Image 1,279,1000022515,13149325,
21812,,Spot,2,Image 1,280,1000022515,13149326,
21834,,Spot,2,Image 1,281,1000022515,13149327,
21726,,Spot,2,Image 1,282,1000022515,13149328,
21160,,Spot,2,Image 1,283,1000022515,13149329,
22056,,Spot,2,Image 1,284,1000022515,13149330,
22076,,Spot,2,Image 1,285,1000022515,13149331,
22518,,Spot,2,Image 1,286,1000022515,13149332,
22266,,Spot,2,Image 1,287,1000022515,13149333,
22518,,Spot,2,Image 1,288,1000022515,13149334,
22526,,Spot,2,Image 1,289,1000022515,13149335,
22002,,Spot,2,Image 1,290,1000022515,13149336,
22208,,Spot,2,Image 1,291,1000022515,13149337,
22674,,Spot,2,Image 1,292,1000022515,13149338,
23348,,Spot,2,Image 1,293,1000022515,13149339,
22158,,Spot,2,Image 1,294,1000022515,13149340,
22048,,Spot,2,Image 1,295,1000022515,13149341,
22052,,Spot,2,Image 1,296,1000022515,13149342,
21280,,Spot,2,Image 1,297,1000022515,13149343,
21798,,Spot,2,Image 1,298,1000022515,13149344,
22114,,Spot,2,Image 1,299,1000022515,13149345,
22104,,Spot,2,Image 1,300,1000022515,13149346,
23108,,Spot,2,Image 1,301,1000022515,13149347,
22470,,Spot,2,Image 1,302,1000022515,13149348,
22874,,Spot,2,Image 1,303,1000022515,13149349,
21934,,Spot,2,Image 1,304,1000022515,13149350,
22408,,Spot,2,Image 1,305,1000022515,13149351,
21802,,Spot,2,Image 1,306,1000022515,13149352,
21222,,Spot,2,Image 1,307,1000022515,13149353,
22418,,Spot,2,Image 1,308,1000022515,13149354,
22698,,Spot,2,Image 1,309,1000022515,13149355,
22036,,Spot,2,Image 1,310,1000022515,13149356,
22948,,Spot,2,Image 1,311,1000022515,13149357,
22548,,Spot,2,Image 1,312,1000022515,13149358,
22058,,Spot,2,Image 1,313,1000022515,13149359,
23500,,Spot,2,Image 1,314,1000022515,13149360,
23236,,Spot,2,Image 1,315,1000022515,13149361,
23748,,Spot,2,Image 1,316,1000022515,13149362,
23962,,Spot,2,Image 1,317,1000022515,13149363,
23068,,Spot,2,Image 1,318,1000022515,13149364,
22218,,Spot,2,Image 1,319,1000022515,13149365,
23038,,Spot,2,Image 1,320,1000022515,13149366,
22220,,Spot,2,Image 1,321,1000022515,13149367,
21718,,Spot,2,Image 1,322,1000022515,13149368,
22752,,Spot,2,Image 1,323,1000022515,13149369,
20976,,Spot,2,Image 1,324,1000022515,13149370,
21072,,Spot,2,Image 1,325,1000022515,13149371,
20758,,Spot,2,Image 1,326,1000022515,13149372,
21826,,Spot,2,Image 1,327,1000022515,13149373,
29390,,Spot,2,Image 1,328,1000022515,13149374,
29322,,Spot,2,Image 1,329,1000022515,13149375,
21012,,Spot,2,Image 1,330,1000022515,13149376,
26270,,Spot,2,Image 1,331,1000022515,13149377,
30470,,Spot,2,Image 1,332,1000022515,13149378,
20922,,Spot,2,Image 1,333,1000022515,13149379,
22628,,Spot,2,Image 1,334,1000022515,13149380,
21244,,Spot,2,Image 1,335,1000022515,13149381,
20084,,Spot,2,Image 1,336,1000022515,13149382,
21430,,Spot,2,Image 1,337,1000022515,13149383,
20766,,Spot,2,Image 1,338,1000022515,13149384,
22118,,Spot,2,Image 1,339,1000022515,13149385,
21654,,Spot,2,Image 1,340,1000022515,13149386,
30294,,Spot,2,Image 1,341,1000022515,13149387,
