
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
213.968,,Spot,2,Image 1,143,1000000599,611,
214.048,,Spot,2,Image 1,144,1000000599,612,
213.984,,Spot,2,Image 1,145,1000000599,613,
214.016,,Spot,2,Image 1,146,1000000599,614,
214.016,,Spot,2,Image 1,147,1000000599,615,
213.984,,Spot,2,Image 1,148,1000000599,616,
213.952,,Spot,2,Image 1,149,1000000599,617,
213.968,,Spot,2,Image 1,150,1000000599,618,
216.032,,Spot,2,Image 1,151,1000000599,619,
215.976,,Spot,2,Image 1,152,1000000599,620,
219.952,,Spot,2,Image 1,152,1000000621,621,
212,,Spot,2,Image 1,153,1000000599,622,
216,,Spot,2,Image 1,153,1000000621,623,
216.04,,Spot,2,Image 1,154,1000000599,624,
220.004,,Spot,2,Image 1,154,1000000621,625,
216,,Spot,2,Image 1,155,1000000599,626,
220.048,,Spot,2,Image 1,155,1000000621,627,
215.968,,Spot,2,Image 1,156,1000000599,628,
220.032,,Spot,2,Image 1,156,1000000621,629,
211.968,,Spot,2,Image 1,157,1000000599,630,
216.048,,Spot,2,Image 1,157,1000000621,631,
214,,Spot,2,Image 1,157,1000000632,632,
218,,Spot,2,Image 1,158,1000000621,633,
218,,Spot,2,Image 1,158,1000000632,634,
216.016,,Spot,2,Image 1,159,1000000621,635,
214.016,,Spot,2,Image 1,159,1000000632,636,
216.064,,Spot,2,Image 1,160,1000000621,637,
215.984,,Spot,2,Image 1,160,1000000632,638,
219.996,,Spot,2,Image 1,161,1000000621,639,
218.04,,Spot,2,Image 1,161,1000000632,640,
215.952,,Spot,2,Image 1,162,1000000621,641,
214.036,,Spot,2,Image 1,162,1000000632,642,
216,,Spot,2,Image 1,163,1000000621,643,
214.016,,Spot,2,Image 1,163,1000000632,644,
220.048,,Spot,2,Image 1,164,1000000621,645,
218.032,,Spot,2,Image 1,164,1000000632,646,
219.984,,Spot,2,Image 1,165,1000000621,647,
217.984,,Spot,2,Image 1,165,1000000632,648,
219.968,,Spot,2,Image 1,166,1000000621,649,
218,,Spot,2,Image 1,166,1000000632,650,
215.968,,Spot,2,Image 1,167,1000000621,651,
214.016,,Spot,2,Image 1,167,1000000632,652,
216,,Spot,2,Image 1,168,1000000621,653,
214.016,,Spot,2,Image 1,168,1000000632,654,
220.04,,Spot,2,Image 1,169,1000000621,655,
218.016,,Spot,2,Image 1,169,1000000632,656,
218.08,,Spot,2,Image 1,170,1000000621,657,
216.064,,Spot,2,Image 1,170,1000000632,658,
218.064,,Spot,2,Image 1,171,1000000621,659,
213.952,,Spot,2,Image 1,171,1000000632,660,
218,,Spot,2,Image 1,172,1000000621,661,
214.04,,Spot,2,Image 1,172,1000000632,662,
220.032,,Spot,2,Image 1,173,1000000621,663,
218.04,,Spot,2,Image 1,173,1000000632,664,
219.984,,Spot,2,Image 1,174,1000000621,665,
217.968,,Spot,2,Image 1,174,1000000632,666,
220.04,,Spot,2,Image 1,175,1000000621,667,
217.976,,Spot,2,Image 1,175,1000000632,668,
217.988,,Spot,2,Image 1,176,1000000621,669,
214.016,,Spot,2,Image 1,176,1000000632,670,
217.988,,Spot,2,Image 1,177,1000000621,671,
215.968,,Spot,2,Image 1,177,1000000632,672,
219.968,,Spot,2,Image 1,178,1000000621,673,
218.016,,Spot,2,Image 1,178,1000000632,674,
215.968,,Spot,2,Image 1,179,1000000621,675,
220.048,,Spot,2,Image 1,180,1000000621,676,
220,,Spot,2,Image 1,180,,677,
216.016,,Spot,2,Image 1,181,1000000621,678,
220.016,,Spot,2,Image 1,182,1000000621,679,
