
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,1,,257,,
Number of Spots per Time Point,1,,258,,
Number of Spots per Time Point,1,,259,,
Number of Spots per Time Point,1,,260,,
Number of Spots per Time Point,1,,261,,
Number of Spots per Time Point,1,,262,,
Number of Spots per Time Point,1,,263,,
Number of Spots per Time Point,1,,264,,
Number of Spots per Time Point,1,,265,,
Number of Spots per Time Point,1,,266,,
Number of Spots per Time Point,1,,267,,
Number of Spots per Time Point,2,,268,,
Number of Spots per Time Point,2,,269,,
Number of Spots per Time Point,2,,270,,
Number of Spots per Time Point,2,,271,,
Number of Spots per Time Point,2,,272,,
Number of Spots per Time Point,2,,273,,
Number of Spots per Time Point,2,,274,,
Number of Spots per Time Point,2,,275,,
Number of Spots per Time Point,2,,276,,
Number of Spots per Time Point,2,,277,,
Number of Spots per Time Point,2,,278,,
Number of Spots per Time Point,2,,279,,
Number of Spots per Time Point,2,,280,,
Number of Spots per Time Point,2,,281,,
Number of Spots per Time Point,2,,282,,
Number of Spots per Time Point,2,,283,,
Number of Spots per Time Point,2,,284,,
Number of Spots per Time Point,2,,285,,
Number of Spots per Time Point,2,,286,,
Number of Spots per Time Point,2,,287,,
Number of Spots per Time Point,2,,288,,
Number of Spots per Time Point,2,,289,,
Number of Spots per Time Point,2,,290,,
Number of Spots per Time Point,2,,291,,
Number of Spots per Time Point,2,,292,,
Number of Spots per Time Point,2,,293,,
Number of Spots per Time Point,2,,294,,
Number of Spots per Time Point,2,,295,,
Number of Spots per Time Point,2,,296,,
Number of Spots per Time Point,2,,297,,
Number of Spots per Time Point,2,,298,,
Number of Spots per Time Point,2,,299,,
Number of Spots per Time Point,2,,300,,
Number of Spots per Time Point,2,,301,,
Number of Spots per Time Point,2,,302,,
Number of Spots per Time Point,2,,303,,
Number of Spots per Time Point,2,,304,,
Number of Spots per Time Point,2,,305,,
Number of Spots per Time Point,2,,306,,
Number of Spots per Time Point,2,,307,,
Number of Spots per Time Point,2,,308,,
Number of Spots per Time Point,2,,309,,
Number of Spots per Time Point,2,,310,,
Number of Spots per Time Point,2,,311,,
Number of Spots per Time Point,2,,312,,
Number of Spots per Time Point,2,,313,,
Number of Spots per Time Point,2,,314,,
Number of Spots per Time Point,2,,315,,
