
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
19.0091,µm,Spot,273,1000000452,621,
19.0091,µm,Spot,273,1000000612,622,
19.3361,µm,Spot,274,1000000452,623,
19.3361,µm,Spot,274,1000000612,624,
18.4884,µm,Spot,275,1000000452,625,
18.4884,µm,Spot,275,1000000612,626,
18.3206,µm,Spot,276,1000000452,627,
18.3206,µm,Spot,276,1000000612,628,
18.0575,µm,Spot,277,1000000452,629,
18.0575,µm,Spot,277,1000000612,630,
18.2393,µm,Spot,278,1000000452,631,
18.2393,µm,Spot,278,1000000612,632,
18.5514,µm,Spot,279,1000000452,633,
18.5514,µm,Spot,279,1000000612,634,
18.5257,µm,Spot,280,1000000452,635,
18.5257,µm,Spot,280,1000000612,636,
18.0513,µm,Spot,281,1000000452,637,
18.0513,µm,Spot,281,1000000612,638,
18.0769,µm,Spot,282,1000000452,639,
18.0769,µm,Spot,282,1000000612,640,
18.3494,µm,Spot,283,1000000452,641,
18.3494,µm,Spot,283,1000000612,642,
17.7676,µm,Spot,284,1000000452,643,
17.7676,µm,Spot,284,1000000612,644,
17.2753,µm,Spot,285,1000000452,645,
17.2753,µm,Spot,285,1000000612,646,
17.853,µm,Spot,286,1000000452,647,
17.853,µm,Spot,286,1000000612,648,
18.1442,µm,Spot,287,1000000452,649,
18.1442,µm,Spot,287,1000000612,650,
17.4506,µm,Spot,288,1000000452,651,
17.4506,µm,Spot,288,1000000612,652,
18.1003,µm,Spot,289,1000000452,653,
18.1003,µm,Spot,289,1000000612,654,
17.6626,µm,Spot,290,1000000452,655,
17.6626,µm,Spot,290,1000000612,665,
17.4446,µm,Spot,291,1000000452,666,
17.4446,µm,Spot,291,1000000612,667,
17.414,µm,Spot,292,1000000452,668,
17.414,µm,Spot,292,1000000612,669,
16.9875,µm,Spot,293,1000000452,670,
16.9875,µm,Spot,293,1000000612,671,
16.9166,µm,Spot,294,1000000452,672,
16.9166,µm,Spot,294,1000000612,673,
16.5405,µm,Spot,295,1000000452,674,
16.5405,µm,Spot,295,1000000612,675,
16.3422,µm,Spot,296,1000000452,676,
16.3422,µm,Spot,296,1000000612,677,
16.6214,µm,Spot,297,1000000452,678,
16.6214,µm,Spot,297,1000000612,679,
15.3789,µm,Spot,298,1000000452,680,
15.3789,µm,Spot,298,1000000612,681,
14.9092,µm,Spot,299,1000000452,682,
14.9092,µm,Spot,299,1000000612,683,
14.8408,µm,Spot,300,1000000452,684,
14.8408,µm,Spot,300,1000000612,685,
14.5226,µm,Spot,301,1000000452,686,
14.5226,µm,Spot,301,1000000612,687,
14.441,µm,Spot,302,1000000452,688,
