
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
12,,Spot,234,1000001030,1056,
22,,Spot,235,1000001011,1057,
13,,Spot,235,1000001030,1058,
23,,Spot,236,1000001011,1059,
14,,Spot,236,1000001030,1060,
24,,Spot,237,1000001011,1061,
15,,Spot,237,1000001030,1062,
16,,Spot,238,1000001030,1063,
25,,Spot,238,1000001011,1064,
17,,Spot,239,1000001030,1065,
26,,Spot,239,1000001011,1066,
18,,Spot,240,1000001030,1067,
27,,Spot,240,1000001011,1068,
19,,Spot,241,1000001030,1069,
28,,Spot,241,1000001011,1070,
20,,Spot,242,1000001030,1071,
29,,Spot,242,1000001011,1072,
21,,Spot,243,1000001030,1073,
30,,Spot,243,1000001011,1074,
22,,Spot,244,1000001030,1075,
31,,Spot,244,1000001011,1076,
23,,Spot,245,1000001030,1077,
32,,Spot,245,1000001011,1078,
24,,Spot,246,1000001030,1079,
25,,Spot,247,1000001030,1080,
26,,Spot,248,1000001030,1081,
27,,Spot,249,1000001030,1082,
28,,Spot,250,1000001030,1083,
29,,Spot,251,1000001030,1084,
30,,Spot,252,1000001030,1085,
31,,Spot,253,1000001030,1086,
32,,Spot,254,1000001030,1087,
33,,Spot,255,1000001030,1088,
34,,Spot,256,1000001030,1089,
35,,Spot,257,1000001030,1090,
36,,Spot,258,1000001030,1091,
0,,Spot,259,1000001092,1092,
37,,Spot,259,1000001030,1093,
1,,Spot,260,1000001092,1094,
38,,Spot,260,1000001030,1095,
2,,Spot,261,1000001092,1096,
39,,Spot,261,1000001030,1097,
3,,Spot,262,1000001092,1098,
40,,Spot,262,1000001030,1099,
4,,Spot,263,1000001092,1100,
41,,Spot,263,1000001030,1101,
5,,Spot,264,1000001092,1102,
42,,Spot,264,1000001030,1103,
6,,Spot,265,1000001092,1104,
43,,Spot,265,1000001030,1105,
7,,Spot,266,1000001092,1106,
44,,Spot,266,1000001030,1107,
8,,Spot,267,1000001092,1108,
45,,Spot,267,1000001030,1109,
9,,Spot,268,1000001092,1110,
46,,Spot,268,1000001030,1111,
10,,Spot,269,1000001092,1112,
47,,Spot,269,1000001030,1113,
11,,Spot,270,1000001092,1114,
48,,Spot,270,1000001030,1115,
12,,Spot,271,1000001092,1116,
49,,Spot,271,1000001030,1117,
13,,Spot,272,1000001092,1118,
50,,Spot,272,1000001030,1119,
14,,Spot,273,1000001092,1120,
51,,Spot,273,1000001030,1121,
15,,Spot,274,1000001092,1122,
52,,Spot,274,1000001030,1123,
16,,Spot,275,1000001092,1124,
53,,Spot,275,1000001030,1125,
17,,Spot,276,1000001092,1126,
54,,Spot,276,1000001030,1127,
18,,Spot,277,1000001092,1128,
55,,Spot,277,1000001030,1129,
19,,Spot,278,1000001092,1130,
56,,Spot,278,1000001030,1131,
20,,Spot,279,1000001092,1132,
