
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,0,,364,,
Number of Spots per Time Point,0,,365,,
Number of Spots per Time Point,0,,366,,
Number of Spots per Time Point,0,,367,,
Number of Spots per Time Point,0,,368,,
Number of Spots per Time Point,0,,369,,
Number of Spots per Time Point,0,,370,,
Number of Spots per Time Point,0,,371,,
Number of Spots per Time Point,0,,372,,
Number of Spots per Time Point,0,,373,,
Number of Spots per Time Point,0,,374,,
Number of Spots per Time Point,0,,375,,
Number of Spots per Time Point,0,,376,,
Number of Spots per Time Point,0,,377,,
Number of Spots per Time Point,0,,378,,
Number of Spots per Time Point,0,,379,,
Number of Spots per Time Point,0,,380,,
Number of Spots per Time Point,0,,381,,
Number of Spots per Time Point,0,,382,,
Number of Spots per Time Point,0,,383,,
Number of Spots per Time Point,0,,384,,
Number of Spots per Time Point,0,,385,,
Number of Spots per Time Point,0,,386,,
Number of Spots per Time Point,0,,387,,
Number of Spots per Time Point,0,,388,,
Number of Spots per Time Point,0,,389,,
Number of Spots per Time Point,0,,390,,
Number of Spots per Time Point,0,,391,,
Number of Tracks,11,,,,
Total Number of Spots,49,,,,
