
Average Distance To 9 Nearest Neighbours
 ==================== 
Average Distance To 9 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
0,µm,Spot,354,1000024760,24765,
0,µm,Spot,355,1000024760,24766,
0,µm,Spot,356,1000024760,24767,
0,µm,Spot,357,1000024760,24768,
0,µm,Spot,358,1000024760,24769,
0,µm,Spot,359,1000024760,24770,
0,µm,Spot,360,1000024760,24771,
0,µm,Spot,361,1000024760,24772,
0,µm,Spot,362,1000024760,24773,
0,µm,Spot,363,1000024760,24774,
0,µm,Spot,364,1000024760,24775,
0,µm,Spot,365,1000024760,24776,
0,µm,Spot,366,1000024760,24777,
0,µm,Spot,367,1000024760,24778,
0,µm,Spot,368,1000024760,24779,
0,µm,Spot,369,1000024760,24780,
