
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
210,,Spot,2,Image 1,262,1000031773,31859,
222,,Spot,2,Image 1,263,1000031703,31860,
206,,Spot,2,Image 1,263,1000031773,31861,
216,,Spot,2,Image 1,264,1000031703,31862,
186,,Spot,2,Image 1,264,1000031773,31863,
212,,Spot,2,Image 1,265,1000031703,31864,
200,,Spot,2,Image 1,265,1000031773,31865,
210,,Spot,2,Image 1,266,1000031703,31866,
202,,Spot,2,Image 1,266,1000031773,31867,
226,,Spot,2,Image 1,267,1000031703,31868,
204,,Spot,2,Image 1,267,1000031773,31869,
198,,Spot,2,Image 1,268,1000031703,31870,
196,,Spot,2,Image 1,268,1000031773,31871,
212,,Spot,2,Image 1,269,1000031703,31872,
214,,Spot,2,Image 1,269,1000031773,31873,
224,,Spot,2,Image 1,270,1000031703,31874,
208,,Spot,2,Image 1,270,1000031773,31875,
178,,Spot,2,Image 1,271,1000031703,31876,
208,,Spot,2,Image 1,271,1000031773,31877,
202,,Spot,2,Image 1,272,1000031703,31878,
206,,Spot,2,Image 1,272,1000031773,31879,
196,,Spot,2,Image 1,273,1000031703,31880,
194,,Spot,2,Image 1,273,1000031773,31881,
190,,Spot,2,Image 1,274,1000031703,31882,
208,,Spot,2,Image 1,274,1000031773,31883,
206,,Spot,2,Image 1,275,1000031703,31884,
208,,Spot,2,Image 1,275,1000031773,31885,
214,,Spot,2,Image 1,276,1000031703,31886,
206,,Spot,2,Image 1,276,1000031773,31887,
188,,Spot,2,Image 1,277,1000031703,31888,
196,,Spot,2,Image 1,277,1000031773,31889,
188,,Spot,2,Image 1,278,1000031703,31890,
212,,Spot,2,Image 1,278,1000031773,31891,
188,,Spot,2,Image 1,279,1000031703,31892,
208,,Spot,2,Image 1,279,1000031773,31893,
198,,Spot,2,Image 1,280,1000031703,31894,
208,,Spot,2,Image 1,280,1000031773,31895,
212,,Spot,2,Image 1,281,1000031703,31896,
212,,Spot,2,Image 1,281,1000031773,31897,
204,,Spot,2,Image 1,282,1000031703,31898,
202,,Spot,2,Image 1,282,1000031773,31899,
