
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
22.8691,µm,Spot,Image 1,154,1000000000,154,
21.5559,µm,Spot,Image 1,155,1000000000,155,
22.4962,µm,Spot,Image 1,156,1000000000,156,
23.6968,µm,Spot,Image 1,157,1000000000,157,
22.6554,µm,Spot,Image 1,158,1000000000,158,
22.5757,µm,Spot,Image 1,159,1000000000,159,
23.0861,µm,Spot,Image 1,160,1000000000,160,
23.0743,µm,Spot,Image 1,161,1000000000,161,
23.1752,µm,Spot,Image 1,162,1000000000,162,
23.4806,µm,Spot,Image 1,163,1000000000,163,
23.8745,µm,Spot,Image 1,164,1000000000,164,
23.5622,µm,Spot,Image 1,165,1000000000,165,
23.7566,µm,Spot,Image 1,166,1000000000,166,
23.5555,µm,Spot,Image 1,167,1000000000,167,
22.7653,µm,Spot,Image 1,168,1000000000,168,
24.3859,µm,Spot,Image 1,169,1000000000,169,
24.5613,µm,Spot,Image 1,170,1000000000,170,
24.0309,µm,Spot,Image 1,171,1000000000,171,
23.001,µm,Spot,Image 1,172,1000000000,172,
24.3689,µm,Spot,Image 1,173,1000000000,173,
24.1215,µm,Spot,Image 1,174,1000000000,174,
24.454,µm,Spot,Image 1,175,1000000000,175,
23.6917,µm,Spot,Image 1,176,1000000000,176,
23.7762,µm,Spot,Image 1,177,1000000000,177,
23.8663,µm,Spot,Image 1,178,1000000000,178,
24.1811,µm,Spot,Image 1,179,1000000000,179,
24.459,µm,Spot,Image 1,180,1000000000,180,
24.4598,µm,Spot,Image 1,181,1000000000,181,
24.673,µm,Spot,Image 1,182,1000000000,182,
24.6092,µm,Spot,Image 1,183,1000000000,183,
24.4364,µm,Spot,Image 1,184,1000000000,184,
24.8569,µm,Spot,Image 1,185,1000000000,185,
25.5586,µm,Spot,Image 1,186,1000000000,186,
25.4372,µm,Spot,Image 1,187,1000000000,187,
25.7614,µm,Spot,Image 1,188,1000000000,188,
25.3077,µm,Spot,Image 1,189,1000000000,189,
25.227,µm,Spot,Image 1,190,1000000000,190,
25.6586,µm,Spot,Image 1,191,1000000000,191,
25.0785,µm,Spot,Image 1,192,1000000000,192,
25.4335,µm,Spot,Image 1,193,1000000000,193,
25.6128,µm,Spot,Image 1,194,1000000000,194,
25.9126,µm,Spot,Image 1,195,1000000000,195,
25.4335,µm,Spot,Image 1,196,1000000000,196,
25.1899,µm,Spot,Image 1,197,1000000000,197,
25.2555,µm,Spot,Image 1,198,1000000000,198,
25.5692,µm,Spot,Image 1,199,1000000000,199,
25.1938,µm,Spot,Image 1,200,1000000000,200,
24.1664,µm,Spot,Image 1,201,1000000000,201,
24.2926,µm,Spot,Image 1,202,1000000000,202,
24.032,µm,Spot,Image 1,203,1000000000,203,
24.1107,µm,Spot,Image 1,204,1000000000,204,
22.6892,µm,Spot,Image 1,205,1000000000,205,
21.4341,µm,Spot,Image 1,206,1000000000,206,
19.7927,µm,Spot,Image 1,207,1000000000,207,
18.3667,µm,Spot,Image 1,208,1000000000,208,
20.6148,µm,Spot,Image 1,209,1000000000,209,
21.0969,µm,Spot,Image 1,210,1000000000,210,
21.7705,µm,Spot,Image 1,211,1000000000,211,
22.1813,µm,Spot,Image 1,212,1000000000,212,
21.8915,µm,Spot,Image 1,213,1000000000,213,
22.5633,µm,Spot,Image 1,214,1000000000,214,
21.879,µm,Spot,Image 1,215,1000000000,215,
21.9141,µm,Spot,Image 1,216,1000000000,216,
23.4573,µm,Spot,Image 1,217,1000000000,217,
24.1333,µm,Spot,Image 1,218,1000000000,218,
24.4075,µm,Spot,Image 1,219,1000000000,219,
22.6773,µm,Spot,Image 1,220,1000000000,220,
23.344,µm,Spot,Image 1,221,1000000000,221,
24.7792,µm,Spot,Image 1,222,1000000000,222,
24.1675,µm,Spot,Image 1,223,1000000000,223,
25.0434,µm,Spot,Image 1,224,1000000000,224,
25.2982,µm,Spot,Image 1,225,1000000000,225,
24.515,µm,Spot,Image 1,226,1000000000,226,
25.2426,µm,Spot,Image 1,227,1000000000,228,
25.32,µm,Spot,Image 1,228,1000000000,229,
24.4196,µm,Spot,Image 1,229,1000000000,230,
25.3819,µm,Spot,Image 1,230,1000000000,231,
25.1993,µm,Spot,Image 1,231,1000000000,232,
24.1913,µm,Spot,Image 1,232,1000000000,233,
24.7799,µm,Spot,Image 1,233,1000000000,234,
24.7311,µm,Spot,Image 1,234,1000000000,235,
24.801,µm,Spot,Image 1,235,1000000000,236,
24.0745,µm,Spot,Image 1,236,1000000000,237,
24.1592,µm,Spot,Image 1,237,1000000000,238,
24.3121,µm,Spot,Image 1,238,1000000000,239,
24.9557,µm,Spot,Image 1,239,1000000000,240,
24.7888,µm,Spot,Image 1,240,1000000000,241,
24.9011,µm,Spot,Image 1,241,1000000000,242,
23.9661,µm,Spot,Image 1,242,1000000000,243,
24.9958,µm,Spot,Image 1,243,1000000000,244,
24.7919,µm,Spot,Image 1,244,1000000000,245,
25.5379,µm,Spot,Image 1,245,1000000000,246,
25.9036,µm,Spot,Image 1,246,1000000000,247,
25.1641,µm,Spot,Image 1,247,1000000000,248,
25.0533,µm,Spot,Image 1,248,1000000000,249,
25.9101,µm,Spot,Image 1,249,1000000000,250,
26.0916,µm,Spot,Image 1,250,1000000000,251,
26.2949,µm,Spot,Image 1,251,1000000000,252,
26.4434,µm,Spot,Image 1,252,1000000000,253,
26.4176,µm,Spot,Image 1,253,1000000000,254,
26.7993,µm,Spot,Image 1,254,1000000000,255,
26.6343,µm,Spot,Image 1,255,1000000000,256,
26.2765,µm,Spot,Image 1,256,1000000000,257,
26.1033,µm,Spot,Image 1,257,1000000000,258,
26.1076,µm,Spot,Image 1,258,1000000000,259,
25.2964,µm,Spot,Image 1,259,1000000000,260,
26.1731,µm,Spot,Image 1,260,1000000000,261,
23.1371,µm,Spot,Image 1,261,1000000000,262,
21.9519,µm,Spot,Image 1,262,1000000000,263,
21.8479,µm,Spot,Image 1,263,1000000000,264,
22.4659,µm,Spot,Image 1,264,1000000000,265,
23.6228,µm,Spot,Image 1,265,1000000000,266,
24.6088,µm,Spot,Image 1,266,1000000000,267,
25.0623,µm,Spot,Image 1,267,1000000000,268,
25.5328,µm,Spot,Image 1,268,1000000000,269,
25.576,µm,Spot,Image 1,269,1000000000,270,
25.1695,µm,Spot,Image 1,270,1000000000,271,
25.1846,µm,Spot,Image 1,271,1000000000,272,
25.2808,µm,Spot,Image 1,272,1000000000,273,
25.1002,µm,Spot,Image 1,273,1000000000,274,
24.5764,µm,Spot,Image 1,274,1000000000,275,
24.2321,µm,Spot,Image 1,275,1000000000,276,
25.0879,µm,Spot,Image 1,276,1000000000,277,
25.2978,µm,Spot,Image 1,277,1000000000,278,
25.059,µm,Spot,Image 1,278,1000000000,279,
24.9991,µm,Spot,Image 1,279,1000000000,280,
23.5576,µm,Spot,Image 1,280,1000000000,281,
24.524,µm,Spot,Image 1,281,1000000000,282,
25.6598,µm,Spot,Image 1,282,1000000000,283,
25.0071,µm,Spot,Image 1,283,1000000000,284,
24.3351,µm,Spot,Image 1,284,1000000000,285,
25.7817,µm,Spot,Image 1,285,1000000000,286,
26.713,µm,Spot,Image 1,286,1000000000,287,
25.8148,µm,Spot,Image 1,287,1000000000,288,
25.5776,µm,Spot,Image 1,288,1000000000,289,
25.2411,µm,Spot,Image 1,289,1000000000,290,
25.7949,µm,Spot,Image 1,290,1000000000,291,
25.6237,µm,Spot,Image 1,291,1000000000,292,
25.4994,µm,Spot,Image 1,292,1000000000,293,
24.1297,µm,Spot,Image 1,293,1000000000,294,
22.4175,µm,Spot,Image 1,294,1000000000,295,
21.5051,µm,Spot,Image 1,295,1000000000,296,
22.2326,µm,Spot,Image 1,296,1000000000,297,
23.6505,µm,Spot,Image 1,297,1000000000,298,
24.6556,µm,Spot,Image 1,298,1000000000,299,
25.3865,µm,Spot,Image 1,299,1000000000,300,
25.0193,µm,Spot,Image 1,300,1000000000,301,
25.6143,µm,Spot,Image 1,301,1000000000,302,
25.5563,µm,Spot,Image 1,302,1000000000,303,
25.1705,µm,Spot,Image 1,303,1000000000,304,
24.9158,µm,Spot,Image 1,304,1000000000,305,
